#Organism/Name	Kingdom	Group	SubGroup	Size (Mb)	Chrs	Organelles	Plasmids	BioProjects
Flavonifractor plautii	Bacteria	Terrabacteria group	Firmicutes	4.38364	1	-	-	3
Flectobacillus major	Bacteria	FCB group	Bacteroidetes/Chlorobi group	6.22103	-	-	-	1
Flexal mammarenavirus	Viruses	ssRNA viruses	Arenaviridae	0.010448	2	-	-	1
Flexibacter elegans	Bacteria	FCB group	Bacteroidetes/Chlorobi group	4.03071	-	-	-	1
Flexibacter litoralis	Bacteria	FCB group	Bacteroidetes/Chlorobi group	4.91934	1	-	-	1
Flexibacter roseolus	Bacteria	FCB group	Bacteroidetes/Chlorobi group	4.25486	-	-	-	1
Flexilinea flocculi	Bacteria	Terrabacteria group	Chloroflexi	3.51063	-	-	-	1
Flexistipes sinusarabici	Bacteria	Deferribacteres	Deferribacteres	2.52659	1	-	-	1
Flexithrix dorotheae	Bacteria	FCB group	Bacteroidetes/Chlorobi group	9.53682	-	-	-	1
Flock house virus	Viruses	ssRNA viruses	Nodaviridae	0.004507	2	-	-	1
Florida woods cockroach-associated cyclovirus	Viruses	ssDNA viruses	Circoviridae	0.001719	1	-	-	1
Fluoribacter bozemanae	Bacteria	Proteobacteria	Gammaproteobacteria	4.12431	-	-	-	2
Fluoribacter dumoffii	Bacteria	Proteobacteria	Gammaproteobacteria	3.90967	1	-	2	3
Fluoribacter gormanii	Bacteria	Proteobacteria	Gammaproteobacteria	3.82006	-	-	-	2
Fluviicola taffensis	Bacteria	FCB group	Bacteroidetes/Chlorobi group	4.63358	1	-	-	1
Fodinicurvata fenggangensis	Bacteria	Proteobacteria	Alphaproteobacteria	3.76975	-	-	-	1
Fodinicurvata sediminis	Bacteria	Proteobacteria	Alphaproteobacteria	3.69055	-	-	-	1
Fomitiporia mediterranea	Eukaryota	Fungi	Basidiomycetes	63.3544	-	-	-	1
Fomitopsis pinicola	Eukaryota	Fungi	Basidiomycetes	41.6144	-	-	-	1
Fonsecaea erecta	Eukaryota	Fungi	Ascomycetes	34.748	-	-	-	1
Fonsecaea monophora	Eukaryota	Fungi	Ascomycetes	35.2298	-	-	-	1
Fonsecaea multimorphosa	Eukaryota	Fungi	Ascomycetes	33.4471	-	-	-	2
Fonsecaea nubica	Eukaryota	Fungi	Ascomycetes	33.7874	-	-	-	1
Fonsecaea pedrosoi	Eukaryota	Fungi	Ascomycetes	34.6889	-	-	-	1
Fonticula alba	Eukaryota	Protists	Other Protists	31.2965	-	-	-	1
Foot-and-mouth disease virus	Viruses	ssRNA viruses	Picornaviridae	0.008134	1	-	-	1
Fopius arisanus	Eukaryota	Animals	Insects	153.632	-	-	-	1
Formica exsecta virus 1	Viruses	ssRNA viruses	Dicistroviridae	0.009554	1	-	-	1
Formica exsecta virus 2	Viruses	ssRNA viruses	Iflaviridae	0.00916	1	-	-	1
Formosa agariphila	Bacteria	FCB group	Bacteroidetes/Chlorobi group	4.22835	1	-	-	1
Formosa algae	Bacteria	FCB group	Bacteroidetes/Chlorobi group	4.29246	-	-	-	1
Formosa haliotis	Bacteria	FCB group	Bacteroidetes/Chlorobi group	4.3058	-	-	-	1
Fort Morgan virus	Viruses	ssRNA viruses	Togaviridae	0.011381	1	-	-	1
Fowl aviadenovirus A	Viruses	dsDNA viruses, no RNA stage	Adenoviridae	0.043804	1	-	-	2
Fowl aviadenovirus B	Viruses	dsDNA viruses, no RNA stage	Adenoviridae	0.045781	1	-	-	1
Fowl aviadenovirus C	Viruses	dsDNA viruses, no RNA stage	Adenoviridae	0.045667	1	-	-	1
Fowl aviadenovirus D	Viruses	dsDNA viruses, no RNA stage	Adenoviridae	0.045063	1	-	-	2
Fowl aviadenovirus E	Viruses	dsDNA viruses, no RNA stage	Adenoviridae	0.044055	1	-	-	1
Fowlpox virus	Viruses	dsDNA viruses, no RNA stage	Poxviridae	0.288539	1	-	-	1
Fox fecal rhabdovirus	Viruses	ssRNA viruses	Rhabdoviridae	0.015541	1	-	-	1
Foxtail mosaic virus	Viruses	ssRNA viruses	Alphaflexiviridae	0.006151	1	-	-	1
Fragaria chiloensis cryptic virus	Viruses	dsRNA viruses	Partitiviridae	0.004678	3	-	-	1
Fragaria chiloensis latent virus	Viruses	ssRNA viruses	Bromoviridae	0.008485	3	-	-	1
Fragaria iinumae	Eukaryota	Plants	Land Plants	199.628	-	-	-	1
Fragaria nipponica	Eukaryota	Plants	Land Plants	206.415	-	-	-	1
Fragaria nubicola	Eukaryota	Plants	Land Plants	203.686	-	-	-	1
Fragaria orientalis	Eukaryota	Plants	Land Plants	214.184	-	-	-	1
Fragaria vesca	Eukaryota	Plants	Land Plants	214.373	14	1	-	1
Fragaria x ananassa	Eukaryota	Plants	Land Plants	697.762	-	-	-	2
Francisella	Bacteria	Proteobacteria	Gammaproteobacteria	2.03593	1	-	-	3
Francisella guangzhouensis	Bacteria	Proteobacteria	Gammaproteobacteria	1.66153	1	-	1	1
Francisella hispaniensis	Bacteria	Proteobacteria	Gammaproteobacteria	1.89514	-	-	-	1
Francisella noatunensis	Bacteria	Proteobacteria	Gammaproteobacteria	1.88709	1	-	-	7
Francisella persica	Bacteria	Proteobacteria	Gammaproteobacteria	1.54077	1	-	-	2
Francisella philomiragia	Bacteria	Proteobacteria	Gammaproteobacteria	2.04971	1	-	2	9
Francisella tularensis	Bacteria	Proteobacteria	Gammaproteobacteria	1.89278	1	-	1	100
Francisella tularensis subsp. novicida	Bacteria	Proteobacteria	Gammaproteobacteria	1.97234	-	-	-	1
Francolinus leucoscepus papillomavirus 1	Viruses	dsDNA viruses, no RNA stage	Papillomaviridae	0.007498	1	-	-	1
Franconibacter helveticus	Bacteria	Proteobacteria	Gammaproteobacteria	4.84187	-	-	-	4
Franconibacter pulveris	Bacteria	Proteobacteria	Gammaproteobacteria	4.71093	-	-	-	4
Frangipani mosaic virus	Viruses	ssRNA viruses	Virgaviridae	0.006643	1	-	-	1
Frankia	Bacteria	Terrabacteria group	Actinobacteria	7.58931	1	-	-	25
Frankia alni	Bacteria	Terrabacteria group	Actinobacteria	7.49793	1	-	-	1
Frankia symbiont of Datisca glomerata	Bacteria	Terrabacteria group	Actinobacteria	5.34099	1	-	2	1
Frankliniella occidentalis	Eukaryota	Animals	Insects	415.782	-	-	-	1
Frateuria	Bacteria	Proteobacteria	Gammaproteobacteria	4.54816	-	-	-	1
Frateuria aurantia	Bacteria	Proteobacteria	Gammaproteobacteria	3.60346	1	-	-	1
Fraxinus excelsior	Eukaryota	Plants	Land Plants	875.244	-	-	-	1
Free State vervet virus	Viruses	ssRNA viruses	Arteriviridae	0.015247	1	-	-	1
Freesia mosaic virus	Viruses	ssRNA viruses	Potyviridae	0.009489	1	-	-	1
French bean leaf curl betasatellite-Kanpur	Viruses	Satellites	unclassified	0.001379	1	-	-	1
French bean leaf curl virus-Kanpur	Viruses	ssDNA viruses	Geminiviridae	0.002741	1	-	-	1
French bean severe leaf curl virus	Viruses	ssDNA viruses	Geminiviridae	0.002771	1	-	-	1
Fretibacterium fastidiosum	Bacteria	Synergistetes	Synergistia	2.72834	1	-	-	1
Frigoribacterium	Bacteria	Terrabacteria group	Actinobacteria	3.24679	-	-	-	10
Frischella perrara	Bacteria	Proteobacteria	Gammaproteobacteria	2.69235	1	-	-	1
Fritillary virus Y	Viruses	ssRNA viruses	Potyviridae	0.009656	1	-	-	1
Frog adenovirus 1	Viruses	dsDNA viruses, no RNA stage	Adenoviridae	0.026163	1	-	-	1
Frog virus 3	Viruses	dsDNA viruses, no RNA stage	Iridoviridae	0.105903	1	-	-	1
Frondihabitans	Bacteria	Terrabacteria group	Actinobacteria	3.45377	1	-	3	2
Fructobacillus	Bacteria	Terrabacteria group	Firmicutes	1.6372	-	-	-	1
Fructobacillus ficulneus	Bacteria	Terrabacteria group	Firmicutes	1.54367	-	-	-	1
Fructobacillus fructosus	Bacteria	Terrabacteria group	Firmicutes	1.48486	-	-	-	3
Fructobacillus pseudoficulneus	Bacteria	Terrabacteria group	Firmicutes	1.41186	-	-	-	1
Fructobacillus tropaeoli	Bacteria	Terrabacteria group	Firmicutes	1.68512	-	-	-	1
Fruit bat alphaherpesvirus 1	Viruses	dsDNA viruses, no RNA stage	Herpesviridae	0.149459	1	-	-	1
Fujinami sarcoma virus	Viruses	Retro-transcribing viruses	Retroviridae	0.004788	1	-	-	1
Fukomys damarensis	Eukaryota	Animals	Mammals	2333.89	-	-	-	1
Fulmarus glacialis	Eukaryota	Animals	Birds	1141.4	-	-	-	1
Fulmarus glacialis papillomavirus 1	Viruses	dsDNA viruses, no RNA stage	Papillomaviridae	0.008132	1	-	-	1
Fulvimarina pelagi	Bacteria	Proteobacteria	Alphaproteobacteria	3.80624	-	-	-	2
Fulvivirga imtechensis	Bacteria	FCB group	Bacteroidetes/Chlorobi group	6.73786	-	-	-	1
Fundulus heteroclitus	Eukaryota	Animals	Fishes	1021.9	-	1	-	1
Fur seal faeces associated circular DNA virus	Viruses	ssDNA viruses	Circoviridae	0.002925	1	-	-	1
Furcraea necrotic streak virus	Viruses	ssRNA viruses	Tombusviridae	0.003966	1	-	-	1
Fusarium avenaceum	Eukaryota	Fungi	Ascomycetes	43.1681	-	1	-	3
Fusarium azukicola	Eukaryota	Fungi	Ascomycetes	51.308	-	-	-	1
Fusarium brasiliense	Eukaryota	Fungi	Ascomycetes	49.3828	-	-	-	1
Fusarium circinatum	Eukaryota	Fungi	Ascomycetes	43.9486	11	-	-	2
Fusarium coeruleum mitovirus 1	Viruses	ssRNA viruses	Narnaviridae	0.002423	1	-	-	1
Fusarium cuneirostrum	Eukaryota	Fungi	Ascomycetes	49.0078	-	-	-	1
Fusarium fujikuroi	Eukaryota	Fungi	Ascomycetes	43.8323	12	-	-	5
Fusarium globosum mitovirus 1	Viruses	ssRNA viruses	Narnaviridae	0.002414	1	-	-	1
Fusarium graminearum	Eukaryota	Fungi	Ascomycetes	36.3541	4	1	-	4
Fusarium graminearum deltaflexivirus 1	Viruses	ssRNA viruses	unclassified	0.008246	1	-	-	1
Fusarium graminearum dsRNA mycovirus-1	Viruses	dsRNA viruses	unclassified	0.006621	1	-	-	1
Fusarium graminearum dsRNA mycovirus-3	Viruses	dsRNA viruses	unclassified	0.009098	1	-	-	1
Fusarium graminearum dsRNA mycovirus-4	Viruses	dsRNA viruses	unclassified	0.004122	2	-	-	1
Fusarium graminearum hypovirus 1	Viruses	dsRNA viruses	Hypoviridae	0.013023	1	-	-	1
Fusarium graminearum hypovirus 2	Viruses	dsRNA viruses	Hypoviridae	0.0128	1	-	-	1
Fusarium langsethiae	Eukaryota	Fungi	Ascomycetes	37.543	-	-	-	1
Fusarium nygamai	Eukaryota	Fungi	Ascomycetes	51.615	-	-	-	1
Fusarium oxysporum	Eukaryota	Fungi	Ascomycetes	61.4717	15	1	-	66
Fusarium oxysporum f. sp. dianthi mycovirus 1	Viruses	dsRNA viruses	Chrysoviridae	0.011804	4	-	-	1
Fusarium phaseoli	Eukaryota	Fungi	Ascomycetes	50.5344	-	-	-	1
Fusarium poae	Eukaryota	Fungi	Ascomycetes	46.4768	-	-	-	1
Fusarium poae dsRNA virus 2	Viruses	dsRNA viruses	unclassified	0.009518	1	-	-	1
Fusarium poae dsRNA virus 3	Viruses	dsRNA viruses	unclassified	0.009419	1	-	-	1
Fusarium poae virus 1	Viruses	dsRNA viruses	Partitiviridae	0.004388	2	-	-	1
Fusarium pseudograminearum	Eukaryota	Fungi	Ascomycetes	36.9329	4	-	-	2
Fusarium sambucinum	Eukaryota	Fungi	Ascomycetes	37.7842	-	-	-	1
Fusarium sp. FSSC_6	Eukaryota	Fungi	Ascomycetes	46.941	-	-	-	1
Fusarium sp. JS1030	Eukaryota	Fungi	Ascomycetes	53.7483	-	-	-	1
Fusarium sp. JS626	Eukaryota	Fungi	Ascomycetes	42.8669	-	-	-	1
Fusarium sp. NRRL 31653	Eukaryota	Fungi	Ascomycetes	41.3087	-	-	-	1
Fusarium sp. NRRL 54464	Eukaryota	Fungi	Ascomycetes	41.9551	-	-	-	1
Fusarium temperatum	Eukaryota	Fungi	Ascomycetes	45.4588	-	-	-	1
Fusarium tucumaniae	Eukaryota	Fungi	Ascomycetes	48.3836	-	-	-	3
Fusarium verticillioides	Eukaryota	Fungi	Ascomycetes	41.8851	11	-	-	1
Fusarium virguliforme	Eukaryota	Fungi	Ascomycetes	50.4488	-	-	-	1
Fusobacterium	Bacteria	Fusobacteria	Fusobacteriia	2.49727	-	-	-	8
Fusobacterium equinum	Bacteria	Fusobacteria	Fusobacteriia	1.79792	-	-	-	1
Fusobacterium gonidiaformans	Bacteria	Fusobacteria	Fusobacteriia	1.93043	-	-	-	2
Fusobacterium hwasookii	Bacteria	Fusobacteria	Fusobacteriia	2.53172	1	-	2	8
Fusobacterium mortiferum	Bacteria	Fusobacteria	Fusobacteriia	2.67104	-	-	-	1
Fusobacterium necrophorum	Bacteria	Fusobacteria	Fusobacteriia	2.03398	-	-	-	31
Fusobacterium nucleatum	Bacteria	Fusobacteria	Fusobacteriia	2.51403	2	-	2	41
Fusobacterium perfoetens	Bacteria	Fusobacteria	Fusobacteriia	2.10301	-	-	-	1
Fusobacterium periodonticum	Bacteria	Fusobacteria	Fusobacteriia	2.54631	-	-	-	4
Fusobacterium russii	Bacteria	Fusobacteria	Fusobacteriia	1.9418	-	-	-	1
Fusobacterium ulcerans	Bacteria	Fusobacteria	Fusobacteriia	3.4875	-	-	-	2
Fusobacterium varium	Bacteria	Fusobacteria	Fusobacteriia	3.2998	-	-	-	1
GB virus C	Viruses	ssRNA viruses	Flaviviridae	0.009392	1	-	-	1
Gadus morhua	Eukaryota	Animals	Fishes	824.311	-	-	-	1
Gaetbulibacter saemankumensis	Bacteria	FCB group	Bacteroidetes/Chlorobi group	3.08915	-	-	-	1
Gaeumannomyces graminis	Eukaryota	Fungi	Ascomycetes	43.7687	-	-	-	1
Gaiella	Bacteria	Terrabacteria group	Actinobacteria	0.99536	-	-	-	1
Gaillardia latent virus	Viruses	ssRNA viruses	Betaflexiviridae	0.008659	1	-	-	1
Gairo virus	Viruses	ssRNA viruses	Arenaviridae	0.010609	2	-	-	1
Galbibacter marinus	Bacteria	FCB group	Bacteroidetes/Chlorobi group	3.57245	-	-	-	1
Galdieria sulphuraria	Eukaryota	Other	Other	13.712	-	-	-	1
Galeopterus variegatus	Eukaryota	Animals	Mammals	3187.66	-	1	-	1
Galerina marginata	Eukaryota	Fungi	Basidiomycetes	59.4182	-	-	-	1
Galinsoga mosaic virus	Viruses	ssRNA viruses	Tombusviridae	0.003803	1	-	-	1
Gallaecimonas pentaromativorans	Bacteria	Proteobacteria	Gammaproteobacteria	4.32084	-	-	-	1
Gallaecimonas xiamenensis	Bacteria	Proteobacteria	Gammaproteobacteria	4.06228	-	-	-	1
Galleria mellonella densovirus	Viruses	ssDNA viruses	Parvoviridae	0.006039	1	-	-	1
Gallibacterium anatis	Bacteria	Proteobacteria	Gammaproteobacteria	2.69414	1	-	1	24
Gallibacterium genomosp. 1	Bacteria	Proteobacteria	Gammaproteobacteria	2.38106	-	-	-	3
Gallibacterium genomosp. 2	Bacteria	Proteobacteria	Gammaproteobacteria	2.50218	-	-	-	1
Gallibacterium genomosp. 3	Bacteria	Proteobacteria	Gammaproteobacteria	2.45286	-	-	-	3
Gallibacterium salpingitidis	Bacteria	Proteobacteria	Gammaproteobacteria	2.64559	-	-	-	3
Gallid herpesvirus 1	Viruses	dsDNA viruses, no RNA stage	Herpesviridae	0.148687	1	-	-	1
Gallid herpesvirus 2	Viruses	dsDNA viruses, no RNA stage	Herpesviridae	0.177874	1	-	-	1
Gallid herpesvirus 3	Viruses	dsDNA viruses, no RNA stage	Herpesviridae	0.16427	1	-	-	1
Galliform aveparvovirus 1	Viruses	ssDNA viruses	Parvoviridae	0.005257	1	-	-	1
Gallionella	Bacteria	Proteobacteria	Betaproteobacteria	3.43429	-	-	-	2
Gallionella capsiferriformans	Bacteria	Proteobacteria	Betaproteobacteria	3.16247	1	-	-	1
Gallivirus Pf-CHK1/GV	Viruses	ssRNA viruses	Picornaviridae	0.008506	1	-	-	1
Gallus gallus	Eukaryota	Animals	Birds	1230.26	35	1	-	1
Gamboa mosquito virus	Viruses	ssRNA viruses	unclassified	0.026315	1	-	-	1
Gammapapillomavirus 19	Viruses	dsDNA viruses, no RNA stage	Papillomaviridae	0.007212	1	-	-	1
Gammapapillomavirus 20	Viruses	dsDNA viruses, no RNA stage	Papillomaviridae	0.007233	1	-	-	1
Gammapapillomavirus 6	Viruses	dsDNA viruses, no RNA stage	Papillomaviridae	0.007263	1	-	-	3
Gammapapillomavirus 8	Viruses	dsDNA viruses, no RNA stage	Papillomaviridae	0.007227	1	-	-	1
Gammaproteobacteria bacterium BRH_c0	Bacteria	Proteobacteria	Gammaproteobacteria	3.53328	-	-	-	1
Gammaproteobacteria bacterium DTU037	Bacteria	Proteobacteria	Gammaproteobacteria	2.83001	-	-	-	1
Gammaproteobacteria bacterium DTU040	Bacteria	Proteobacteria	Gammaproteobacteria	2.19959	-	-	-	1
Gammaproteobacteria bacterium F7	Bacteria	Proteobacteria	Gammaproteobacteria	2.58471	-	-	-	1
Gammaproteobacteria bacterium Ga0074134	Bacteria	Proteobacteria	Gammaproteobacteria	2.90052	-	-	-	1
Gammaproteobacteria bacterium Ga0077536	Bacteria	Proteobacteria	Gammaproteobacteria	4.82664	-	-	-	1
Gammaproteobacteria bacterium Ga0077554	Bacteria	Proteobacteria	Gammaproteobacteria	2.91204	-	-	-	1
Gammaproteobacteria bacterium LS_SOB	Bacteria	Proteobacteria	Gammaproteobacteria	2.69403	-	-	-	1
Gammaproteobacteria bacterium MFB021	Bacteria	Proteobacteria	Gammaproteobacteria	4.4362	-	-	-	1
Gammaproteobacteria bacterium MOLA455	Bacteria	Proteobacteria	Gammaproteobacteria	2.60503	-	-	-	1
Gammaproteobacteria bacterium Q1	Bacteria	Proteobacteria	Gammaproteobacteria	4.5495	-	-	-	1
Gammaproteobacteria bacterium REDSEA-S03_B5	Bacteria	Proteobacteria	Gammaproteobacteria	1.16692	-	-	-	1
Gammaproteobacteria bacterium REDSEA-S08_B8	Bacteria	Proteobacteria	Gammaproteobacteria	1.21858	-	-	-	1
Gammaproteobacteria bacterium REDSEA-S09_B13	Bacteria	Proteobacteria	Gammaproteobacteria	2.2804	-	-	-	1
Gammaproteobacteria bacterium REDSEA-S12_B4	Bacteria	Proteobacteria	Gammaproteobacteria	1.29761	-	-	-	1
Gammaproteobacteria bacterium REDSEA-S14_B7	Bacteria	Proteobacteria	Gammaproteobacteria	2.4835	-	-	-	1
Gammaproteobacteria bacterium REDSEA-S15_B12	Bacteria	Proteobacteria	Gammaproteobacteria	2.90342	-	-	-	1
Gammaproteobacteria bacterium REDSEA-S21_B8	Bacteria	Proteobacteria	Gammaproteobacteria	2.71775	-	-	-	1
Gammaproteobacteria bacterium REDSEA-S26_B10	Bacteria	Proteobacteria	Gammaproteobacteria	1.41403	-	-	-	1
Gammaproteobacteria bacterium REDSEA-S27_B14	Bacteria	Proteobacteria	Gammaproteobacteria	1.42626	-	-	-	1
Gammaproteobacteria bacterium REDSEA-S33_B15	Bacteria	Proteobacteria	Gammaproteobacteria	1.52764	-	-	-	1
Gammaproteobacteria bacterium REDSEA-S45_B9	Bacteria	Proteobacteria	Gammaproteobacteria	2.30897	-	-	-	1
Gammaproteobacteria bacterium SCGC AAA003-E02	Bacteria	Proteobacteria	Gammaproteobacteria	1.60472	-	-	-	1
Gammaproteobacteria bacterium SCGC AG-212-F23	Bacteria	Proteobacteria	Gammaproteobacteria	1.4621	-	-	-	1
Gammaproteobacteria bacterium SG8_11	Bacteria	Proteobacteria	Gammaproteobacteria	3.88213	-	-	-	1
Gammaproteobacteria bacterium SG8_15	Bacteria	Proteobacteria	Gammaproteobacteria	2.7413	-	-	-	1
Gammaproteobacteria bacterium SG8_30	Bacteria	Proteobacteria	Gammaproteobacteria	2.82012	-	-	-	1
Gammaproteobacteria bacterium SG8_31	Bacteria	Proteobacteria	Gammaproteobacteria	5.96837	-	-	-	1
Gammaproteobacteria bacterium SG8_47	Bacteria	Proteobacteria	Gammaproteobacteria	2.69674	-	-	-	1
Gammaproteobacteria bacterium TR3.2	Bacteria	Proteobacteria	Gammaproteobacteria	3.24354	1	-	-	1
Ganoderma lucidum	Eukaryota	Fungi	Basidiomycetes	43.2926	-	-	-	3
Gardnerella	Bacteria	Terrabacteria group	Actinobacteria	1.5899	-	-	-	2
Gardnerella vaginalis	Bacteria	Terrabacteria group	Actinobacteria	1.66735	1	-	-	45
Garlic common latent virus	Viruses	ssRNA viruses	Betaflexiviridae	0.008638	1	-	-	1
Garlic latent virus	Viruses	ssRNA viruses	Betaflexiviridae	0.008363	1	-	-	1
Garlic virus A	Viruses	ssRNA viruses	Alphaflexiviridae	0.00866	1	-	-	1
Garlic virus B	Viruses	ssRNA viruses	Alphaflexiviridae	0.008336	1	-	-	1
Garlic virus C	Viruses	ssRNA viruses	Alphaflexiviridae	0.008405	1	-	-	1
Garlic virus D	Viruses	ssRNA viruses	Alphaflexiviridae	0.008424	1	-	-	1
Garlic virus E	Viruses	ssRNA viruses	Alphaflexiviridae	0.008451	1	-	-	1
Garlic virus X	Viruses	ssRNA viruses	Alphaflexiviridae	0.008106	1	-	-	1
Gasterosteus aculeatus	Eukaryota	Animals	Fishes	446.611	-	-	-	1
Gastropod associated circular ssDNA virus	Viruses	ssDNA viruses	unclassified	0.002351	1	-	-	1
Gavia stellata	Eukaryota	Animals	Birds	1129.69	-	1	-	1
Gavialis gangeticus	Eukaryota	Animals	Other Animals	2188.35	-	-	-	1
Gayadomonas joobiniege	Bacteria	Proteobacteria	Gammaproteobacteria	3.91043	-	-	1	1
Gayfeather mild mottle virus	Viruses	ssRNA viruses	Bromoviridae	0.008499	3	-	-	1
Geitlerinema	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	4.68111	1	-	-	3
Gekko japonicus	Eukaryota	Animals	Reptiles	2490.27	-	1	-	1
Gelatoporia subvermispora	Eukaryota	Fungi	Basidiomycetes	38.9697	-	-	-	1
Gelidibacter algens	Bacteria	FCB group	Bacteroidetes/Chlorobi group	4.50695	-	-	-	1
Gelidibacter mesophilus	Bacteria	FCB group	Bacteroidetes/Chlorobi group	4.43094	-	-	-	1
Gemella	Bacteria	Terrabacteria group	Firmicutes	1.76968	1	-	-	1
Gemella asaccharolytica	Bacteria	Terrabacteria group	Firmicutes	1.28986	-	-	-	1
Gemella bergeri	Bacteria	Terrabacteria group	Firmicutes	1.60451	-	-	-	1
Gemella cuniculi	Bacteria	Terrabacteria group	Firmicutes	1.86968	-	-	-	1
Gemella haemolysans	Bacteria	Terrabacteria group	Firmicutes	1.91619	-	-	-	3
Gemella morbillorum	Bacteria	Terrabacteria group	Firmicutes	1.75292	-	-	-	1
Gemella sanguinis	Bacteria	Terrabacteria group	Firmicutes	1.75611	-	-	-	3
Geminicoccus roseus	Bacteria	Proteobacteria	Alphaproteobacteria	5.69837	-	-	-	1
Geminocystis	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	4.42606	1	-	11	2
Geminocystis herdmanii	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	4.26342	1	-	-	1
Gemmata	Bacteria	PVC group	Planctomycetes	9.04542	1	-	-	2
Gemmata obscuriglobus	Bacteria	PVC group	Planctomycetes	9.16184	-	-	-	1
Gemmatimonadetes bacterium JGI 0000112-M07	Bacteria	FCB group	Gemmatimonadetes	2.91259	-	-	-	1
Gemmatimonadetes bacterium SCGC AAA240-J22	Bacteria	FCB group	Gemmatimonadetes	0.630041	-	-	-	1
Gemmatimonas	Bacteria	FCB group	Gemmatimonadetes	4.29688	-	-	-	5
Gemmatimonas aurantiaca	Bacteria	FCB group	Gemmatimonadetes	4.63696	1	-	-	1
Gemmatimonas phototrophica	Bacteria	FCB group	Gemmatimonadetes	4.70687	-	-	-	1
Gemmatirosa kalamazoonesis	Bacteria	FCB group	Gemmatimonadetes	7.47921	1	-	2	1
Gemmobacter	Bacteria	Proteobacteria	Alphaproteobacteria	4.34443	-	-	-	1
Gemmobacter nectariphilus	Bacteria	Proteobacteria	Alphaproteobacteria	4.52364	-	-	-	1
Gemycircularvirus HV-GcV1	Viruses	unclassified viruses	unclassified	0.002264	1	-	-	1
Gemycircularvirus HV-GcV2	Viruses	unclassified viruses	unclassified	0.002262	1	-	-	1
Gemycircularvirus SL1	Viruses	unclassified viruses	unclassified	0.002199	1	-	-	1
Gemycircularvirus gemy-ch-rat1	Viruses	unclassified viruses	unclassified	0.002188	1	-	-	1
Genlisea aurea	Eukaryota	Plants	Land Plants	43.3578	-	-	-	1
Gentian Kobu-sho-associated virus	Viruses	dsRNA viruses	unclassified	0.022786	1	-	-	1
Gentian ovary ring-spot virus	Viruses	unclassified viruses	unclassified	0.009388	2	-	-	1
Geoalkalibacter ferrihydriticus	Bacteria	Proteobacteria	delta/epsilon subdivisions	3.83969	-	-	-	1
Geoalkalibacter subterraneus	Bacteria	Proteobacteria	delta/epsilon subdivisions	3.71765	1	-	1	1
Geobacillus	Bacteria	Terrabacteria group	Firmicutes	3.91195	1	-	2	25
Geobacillus caldoxylosilyticus	Bacteria	Terrabacteria group	Firmicutes	3.94959	-	-	-	3
Geobacillus icigianus	Bacteria	Terrabacteria group	Firmicutes	3.45781	-	-	-	1
Geobacillus jurassicus	Bacteria	Terrabacteria group	Firmicutes	3.45424	-	-	-	1
Geobacillus kaustophilus	Bacteria	Terrabacteria group	Firmicutes	3.59267	1	-	1	5
Geobacillus phage GBK2	Viruses	dsDNA viruses, no RNA stage	Siphoviridae	0.039078	1	-	-	1
Geobacillus phage GBSV1	Viruses	dsDNA viruses, no RNA stage	unclassified	0.034683	1	-	-	1
Geobacillus stearothermophilus	Bacteria	Terrabacteria group	Firmicutes	3.62238	1	-	1	13
Geobacillus subterraneus	Bacteria	Terrabacteria group	Firmicutes	3.47443	1	-	-	3
Geobacillus thermocatenulatus	Bacteria	Terrabacteria group	Firmicutes	3.5196	-	-	-	1
Geobacillus thermodenitrificans	Bacteria	Terrabacteria group	Firmicutes	3.60801	1	-	1	2
Geobacillus thermoglucosidasius	Bacteria	Terrabacteria group	Firmicutes	3.87312	1	-	2	8
Geobacillus thermoleovorans	Bacteria	Terrabacteria group	Firmicutes	3.59662	1	-	1	3
Geobacillus toebii	Bacteria	Terrabacteria group	Firmicutes	3.26397	-	-	-	2
Geobacillus virus E2	Viruses	unclassified phages	unclassified	0.040863	1	-	-	1
Geobacillus virus E3	Viruses	dsDNA viruses, no RNA stage	Siphoviridae	0.141298	1	-	-	1
Geobacillus vulcani	Bacteria	Terrabacteria group	Firmicutes	3.38911	-	-	-	1
Geobacillus zalihae	Bacteria	Terrabacteria group	Firmicutes	3.53969	-	-	-	1
Geobacter	Bacteria	Proteobacteria	delta/epsilon subdivisions	5.27741	1	-	-	3
Geobacter anodireducens	Bacteria	Proteobacteria	delta/epsilon subdivisions	3.66601	1	-	1	1
Geobacter bemidjiensis	Bacteria	Proteobacteria	delta/epsilon subdivisions	4.61515	1	-	-	1
Geobacter bremensis	Bacteria	Proteobacteria	delta/epsilon subdivisions	4.65103	-	-	-	1
Geobacter daltonii	Bacteria	Proteobacteria	delta/epsilon subdivisions	4.3045	1	-	-	1
Geobacter lovleyi	Bacteria	Proteobacteria	delta/epsilon subdivisions	3.99487	1	-	1	1
Geobacter metallireducens	Bacteria	Proteobacteria	delta/epsilon subdivisions	4.01118	1	-	1	2
Geobacter pickeringii	Bacteria	Proteobacteria	delta/epsilon subdivisions	3.6187	1	-	-	1
Geobacter soli	Bacteria	Proteobacteria	delta/epsilon subdivisions	3.65721	-	-	-	1
