#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Assembly Accession	Chromosomes	Organelles	Plasmids	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession
Paramecium caudatum	5885	PRJNA246569	246569	Protists	Other Protists	30.4809	28.6	GCA_000715435.1	-	-	-	JMSD01	777	-	-	2014/06/30	2014/08/21	Scaffold	Indiana University	SAMN02768576
Physarum polycephalum	5791	PRJNA12851	12851	Protists	Other Protists	205.176	41.9	GCA_000413255.3	-	-	-	ATCM03	69687	-	-	2013/06/14	2016/03/08	Scaffold	WUGSC	SAMN02839457
Oryza nivara	4536	PRJNA48107	48107	Plants	Land Plants	13.313	43	GCA_000710535.1	1	-	-	JNWG01	1	-	-	2014/06/20	2014/06/30	Chromosome	Oryza Map Alignment Project (OMAP)	SAMN02666913
Oryza brachyantha	4533	PRJNA70533	70533	Plants	Land Plants	14.4404	40.9	GCA_000710545.1	1	-	-	JNWF01	1	-	-	2014/06/20	2014/06/30	Chromosome	The Institute of Genetics and Developmental Biology	SAMN02666884
Oryza punctata	4537	PRJNA13770	13770	Plants	Land Plants	22.4654	43.6	GCA_000710525.1	1	-	-	JNWE01	1	-	-	2014/06/20	2014/06/30	Chromosome	The Oryza Map Alignment Project (OMAP)	SAMN02666882
Hammondia hammondi	99158	PRJNA80807	80807	Protists	Apicomplexans	67.7014	53.3	GCA_000258005.2	-	-	-	AHJH02	14861	8162	8004	-	-	Scaffold	J. Craig Venter Institute	SAMN02736878
Raphanus sativus	3726	PRJDB1517	251823	Plants	Land Plants	402.328	38.3	GCA_000715565.1	-	-	-	BAUK01	76592	-	-	-	-	Scaffold	Kazusa DNA Research Institute	SAMD00008820
Rattus norvegicus	10116	PRJNA10629	10629	Animals	Mammals	2870.18	42.3282	GCA_000001895.4	22	1	-	AABR07	1395	39365	56113	2002/11/27	2014/07/01	Chromosome	Rat Genome Sequencing Consortium	SAMN02808228
Buceros rhinoceros silvestris	175836	PRJNA212887	212887	Animals	Birds	1065.78	42.6	GCA_000710305.1	-	-	-	JMFK01	62257	14483	15510	-	-	Scaffold	BGI	SAMN02318191
Oryza officinalis	4535	PRJNA239525	239525	Plants	Land Plants	26.1885	44.7	GCA_000717455.1	1	-	-	JJMQ01	1	-	-	2014/07/02	2014/07/03	Chromosome	Oryza Chr3 Short Arm Comparative Sequencing Project	SAMN02666869
Saccharomyces cerevisiae N85	1201112	PRJEB5479	251336	Fungi	Ascomycetes	11.9053	38.1	GCA_000723645.1	-	-	-	CBYJ01	371	-	-	2014/06/04	2015/01/30	Contig	JNU	SAMEA3139040
Plasmodium reichenowi	5854	PRJEB4434	231573	Protists	Apicomplexans	24.0555	19.4	GCA_000723685.1	-	-	-	CBXM01	372	5883	5630	2014/05/22	2015/01/30	Scaffold	WTSI	SAMEA3139042
Aureobasidium pullulans EXF-150	1043002	PRJNA207874	207874	Fungi	Ascomycetes	29.6211	50	GCA_000721785.1	-	-	-	AYEO01	186	11844	11844	-	-	Scaffold	DOE Joint Genome Institute	SAMN02744100
Babesia bigemina	5866	PRJEB5046	237378	Protists	Apicomplexans	13.8409	50.6	GCA_000723445.1	-	-	-	CCBM01	483	-	-	-	-	Contig	WTSI	SAMEA3139030
Lichtheimia corymbifera JMRC:FSU:9682	1263082	PRJEB3978	248798	Fungi	Other Fungi	33.5317	43.9	GCA_000723665.1	-	-	-	CBTN01	209	12379	13404	2014/06/25	2015/01/30	Scaffold	HKI JENA	SAMEA3139041
Aureobasidium melanogenum CBS 110374	1043003	PRJNA207873	207873	Fungi	Ascomycetes	26.2033	49.8	GCA_000721775.1	-	-	-	AYEN01	150	10584	10584	2014/07/02	2014/07/08	Scaffold	DOE Joint Genome Institute	SAMN02744098
Aureobasidium namibiae CBS 147.97	1043004	PRJNA207872	207872	Fungi	Ascomycetes	25.4286	51.1	GCA_000721765.1	-	-	-	AYEM01	47	10259	10259	2014/07/02	2015/04/06	Scaffold	DOE Joint Genome Institute	SAMN02744099
Aureobasidium subglaciale EXF-2481	1043005	PRJNA161477	161477	Fungi	Ascomycetes	25.7967	50.8	GCA_000721755.1	-	-	-	AYYB01	75	10792	10792	-	-	Scaffold	JGI	SAMN02744088
Globodera pallida	36090	PRJEB123	248573	Animals	Roundworms	123.625	38.7	GCA_000724045.1	-	-	-	CBXT01	6873	-	-	2014/05/25	2015/01/30	Scaffold	WTSI	SAMEA3139060
Melitaea cinxia	113334	PRJNA191594	191594	Animals	Insects	389.908	33.6995	GCA_000716385.1	-	1	-	APLT01	8261	-	-	2014/06/26	2014/09/25	Scaffold	University of Helsinki	SAMN01932438
Opisthorchis viverrini	6198	PRJNA222628	222628	Animals	Flatworms	620.453	44.2	GCA_000715545.1	-	-	-	JACJ01	42216	16356	16356	-	-	Scaffold	The University of Melbourne	SAMN00996407
Sarcocystis neurona	42890	PRJNA227351	227351	Protists	Apicomplexans	124.405	51.4	GCA_000727475.1	-	-	-	JAQE01	871	-	-	2014/07/08	2014/07/15	Scaffold	University of Kentucky	SAMN02903972
Atkinsonella hypoxylon	47741	PRJNA221544	221544	Fungi	Ascomycetes	35.5932	44.3	GCA_000729835.1	-	-	-	JFHB01	688	-	-	-	-	Contig	University of Kentucky	SAMN02911898
Epichloe aotearoae	170559	PRJNA221524	221524	Fungi	Ascomycetes	34.4231	43.6	GCA_000729855.1	-	-	-	JFGX01	2094	-	-	-	-	Contig	University of Kentucky	SAMN02911894
Epichloe baconii ATCC 200745	1406312	PRJNA221976	221976	Fungi	Ascomycetes	38.0853	41.6	GCA_000729845.1	-	-	-	JFGY01	3603	-	-	-	-	Contig	University of Kentucky	SAMN02911895
Beta vulgaris subsp. vulgaris	3555	PRJNA241492	241492	Plants	Land Plants	1.15347	44.7	GCA_000729925.1	-	-	-	JMBQ01	1287	-	-	2014/07/16	2014/07/16	Contig	LBLGC, UNIVERSITE D'ORLEANS	SAMN02690742
Diplodia pinea	66738	PRJNA242796	242796	Fungi	Ascomycetes	35.242	56.8	GCA_000729945.1	-	-	-	JHUM01	1889	-	-	-	-	Scaffold	Forestry & Agricultural Biotechnology Institute, University of Pretoria	SAMN02709059
Aspergillus fumigatus var. RP-2014	1476192	PRJNA237468	237468	Fungi	Ascomycetes	27.3551	50	GCA_000731615.1	-	-	-	JHOI01	671	8825	8825	2014/07/18	2014/07/18	Scaffold	Oklahoma State University	SAMN02628958
Stachybotrys chartarum IBT 7711	1280523	PRJNA185811	185811	Fungi	Ascomycetes	36.8797	53.1	GCA_000730325.1	-	-	-	APIU01	2290	11530	11530	2014/07/16	2014/07/18	Scaffold	UT Southwestern	SAMN01819009
Saccharomyces uvarum	230603	PRJNA251664	251664	Fungi	Ascomycetes	11.595	40.1	GCA_000732305.1	-	-	-	JNVO01	3985	-	-	-	-	Contig	University of Auckland	SAMN02838029
Hypocrella siamensis	696354	PRJNA242986	242986	Fungi	Ascomycetes	28.8565	53.1	GCA_000731825.1	-	-	-	JMQE01	2034	-	-	2014/07/18	2016/05/24	Contig	CSIR- Institute of Microbial technology (IMTECH)	SAMN02711855
Plasmodium coatneyi	208452	PRJNA233970	233970	Protists	Apicomplexans	27.8175	39.6911	GCA_000725905.1	14	-	-	JFFQ01	158	-	-	2014/07/08	2014/07/21	Chromosome	NHGRI	SAMN02595587
Scedosporium apiospermum	563466	PRJNA244532	244532	Fungi	Ascomycetes	43.4371	50.4	GCA_000732125.1	-	-	-	JOWA01	176	10917	8375	2014/07/21	2014/10/21	Scaffold	LUNAM - Angers University	SAMN02727168
Verticillium tricorpus MUCL 9792	1425883	PRJNA229139	229139	Fungi	Ascomycetes	36.0604	57.3	GCA_000732205.1	-	-	-	JPET01	58	-	-	2014/07/21	2016/04/13	Scaffold	Wageningen University	SAMN02415140
Cladosporium sphaerospermum UM 843	1151026	PRJNA85131	85131	Fungi	Ascomycetes	26.8942	55.6	GCA_000261425.2	-	-	-	AIIA02	155	-	-	2012/05/07	2014/07/22	Scaffold	UNIVERSITY OF MALAYA	SAMN02717006
Cyprinodon variegatus	28743	PRJNA89149	89149	Animals	Fishes	1035.18	39.5001	GCA_000732505.1	-	1	-	JPKM01	9259	24878	36524	2014/07/17	2014/07/22	Scaffold	Aquatic Genome Models	SAMN02736898
Stachybotrys chartarum IBT 40293	1280524	PRJNA185808	185808	Fungi	Ascomycetes	36.4805	53.2	GCA_000732565.1	-	-	-	ASEQ01	2342	11453	11453	2014/07/21	2014/07/23	Scaffold	UT Southwestern	SAMN01819008
Loa loa	7209	PRJNA246086	246086	Animals	Roundworms	96.4054	30.7991	GCA_000733445.1	-	1	-	JPEI01	2250	-	-	2014/07/25	2014/07/25	Contig	IGS	SAMN02743262
Anopheles sinensis	74873	PRJNA209295	209295	Animals	Insects	220.778	43.9	GCA_000441895.2	-	-	-	ATLV01	9592	19352	19352	-	-	Scaffold	Nanjing Medical University	SAMN02910229
Paramecium sexaurelia	65128	PRJNA252373	252373	Protists	Other Protists	68.0166	24.4	GCA_000733375.1	-	-	-	JPFM01	543	-	-	2014/07/25	2014/07/25	Scaffold	Indiana University	SAMN02849568
Paramecium biaurelia	65126	PRJNA252371	252371	Protists	Other Protists	76.9631	26.3	GCA_000733385.1	-	-	-	JPFL01	2346	-	-	2014/07/25	2014/07/25	Scaffold	Indiana University	SAMN02849567
Isaria farinosa	89141	PRJNA242987	242987	Fungi	Ascomycetes	34.1575	53.2	GCA_000733625.1	-	-	-	JMNC01	1314	-	-	2014/07/25	2014/07/25	Contig	CSIR- Institute of Microbial technology (IMTECH)	SAMN02711856
Magnaporthe oryzae	318829	PRJNA245782	245782	Fungi	Ascomycetes	38.0485	51.6	GCA_000734075.1	-	-	-	JMKB01	6787	-	-	2014/07/28	2014/07/28	Contig	Seoul National University	SAMN02739932
Magnaporthe oryzae	318829	PRJNA245782	245782	Fungi	Ascomycetes	35.7599	51.4	GCA_000734085.1	-	-	-	JMKD01	8396	-	-	2014/07/28	2014/07/28	Contig	Seoul National University	SAMN02739928
Magnaporthe oryzae	318829	PRJNA245782	245782	Fungi	Ascomycetes	37.5568	51.8	GCA_000734095.1	-	-	-	JMKE01	5680	-	-	2014/07/28	2014/07/28	Contig	Seoul National University	SAMN02739886
Magnaporthe oryzae	318829	PRJNA245782	245782	Fungi	Ascomycetes	35.8181	51.5	GCA_000734105.1	-	-	-	JMKC01	7899	-	-	2014/07/28	2014/07/28	Contig	Seoul National University	SAMN02739929
Magnaporthe oryzae	318829	PRJNA245782	245782	Fungi	Ascomycetes	36.2603	51.4	GCA_000734155.1	-	-	-	JMKA01	8416	-	-	2014/07/28	2014/07/28	Contig	Seoul National University	SAMN02739933
Magnaporthe oryzae	318829	PRJNA245782	245782	Fungi	Ascomycetes	36.037	51.4	GCA_000734165.1	-	-	-	JMJY01	8275	-	-	2014/07/28	2014/07/28	Contig	Seoul National University	SAMN02739935
Magnaporthe oryzae	318829	PRJNA245782	245782	Fungi	Ascomycetes	36.2113	51.4	GCA_000734185.1	-	-	-	JMJX01	8248	-	-	2014/07/28	2014/07/28	Contig	Seoul National University	SAMN02739936
Magnaporthe oryzae	318829	PRJNA245782	245782	Fungi	Ascomycetes	37.5933	51.7	GCA_000734215.1	-	-	-	JMJZ01	5947	-	-	2014/07/28	2014/07/28	Contig	Seoul National University	SAMN02739934
Magnaporthe oryzae	318829	PRJNA245782	245782	Fungi	Ascomycetes	36.7163	51.6	GCA_000734235.1	-	-	-	JMJS01	7622	-	-	2014/07/28	2014/07/28	Contig	Seoul National University	SAMN02740630
Magnaporthe oryzae	318829	PRJNA245782	245782	Fungi	Ascomycetes	36.8639	51.9	GCA_000734245.1	-	-	-	JMJP01	6159	-	-	2014/07/28	2014/07/28	Contig	Seoul National University	SAMN02740633
Magnaporthe oryzae	318829	PRJNA245782	245782	Fungi	Ascomycetes	35.8714	51.4	GCA_000734265.1	-	-	-	JMJO01	8518	-	-	2014/07/28	2014/07/28	Contig	Seoul National University	SAMN02740634
Magnaporthe oryzae	318829	PRJNA245782	245782	Fungi	Ascomycetes	36.6799	51.5	GCA_000734275.1	-	-	-	JMJN01	8190	-	-	2014/07/28	2014/07/28	Contig	Seoul National University	SAMN02740636
Magnaporthe oryzae	318829	PRJNA245782	245782	Fungi	Ascomycetes	37.4938	51.9	GCA_000734315.1	-	-	-	JMJM01	6575	-	-	2014/07/28	2014/07/28	Contig	Seoul National University	SAMN02740637
Magnaporthe oryzae	318829	PRJNA245782	245782	Fungi	Ascomycetes	36.2635	51.4	GCA_000734325.1	-	-	-	JMJV01	8541	-	-	2014/07/28	2014/07/28	Contig	Seoul National University	SAMN02740626
Magnaporthe oryzae	318829	PRJNA245782	245782	Fungi	Ascomycetes	37.0133	51.9	GCA_000734335.1	-	-	-	JMJW01	6061	-	-	2014/07/28	2014/07/28	Contig	Seoul National University	SAMN02740625
Magnaporthe oryzae	318829	PRJNA245782	245782	Fungi	Ascomycetes	36.983	51.7	GCA_000734345.1	-	-	-	JMJU01	7027	-	-	2014/07/28	2014/07/28	Contig	Seoul National University	SAMN02740627
Magnaporthe oryzae	318829	PRJNA245782	245782	Fungi	Ascomycetes	36.7888	51.5	GCA_000734395.1	-	-	-	JMJT01	8371	-	-	2014/07/28	2014/07/28	Contig	Seoul National University	SAMN02740629
Magnaporthe oryzae	318829	PRJNA245782	245782	Fungi	Ascomycetes	36.1134	51.5	GCA_000734405.1	-	-	-	JMJR01	7798	-	-	2014/07/28	2014/07/28	Contig	Seoul National University	SAMN02740631
Magnaporthe oryzae	318829	PRJNA245782	245782	Fungi	Ascomycetes	36.3159	51.4	GCA_000734425.1	-	-	-	JMJQ01	8649	-	-	2014/07/28	2014/07/28	Contig	Seoul National University	SAMN02740632
Magnaporthe oryzae	318829	PRJNA245782	245782	Fungi	Ascomycetes	36.3912	51.5	GCA_000734455.1	-	-	-	JMQS01	8119	-	-	2014/07/28	2014/07/28	Contig	Seoul National University	SAMN02742163
Magnaporthe oryzae	318829	PRJNA245782	245782	Fungi	Ascomycetes	36.2884	51.6	GCA_000734495.1	-	-	-	JMQU01	7725	-	-	2014/07/28	2014/07/28	Contig	Seoul National University	SAMN02742165
Magnaporthe oryzae	318829	PRJNA245782	245782	Fungi	Ascomycetes	36.4469	51.6	GCA_000734515.1	-	-	-	JMQW01	7603	-	-	2014/07/28	2014/07/28	Contig	Seoul National University	SAMN02742167
Magnaporthe oryzae	318829	PRJNA245782	245782	Fungi	Ascomycetes	35.6693	51.2	GCA_000734525.1	-	-	-	JMQX01	9213	-	-	2014/07/28	2014/07/28	Contig	Seoul National University	SAMN02742168
Magnaporthe oryzae	318829	PRJNA245782	245782	Fungi	Ascomycetes	35.6138	51.1	GCA_000734555.1	-	-	-	JMQZ01	9452	-	-	2014/07/28	2014/07/28	Contig	Seoul National University	SAMN02742170
Magnaporthe oryzae	318829	PRJNA245782	245782	Fungi	Ascomycetes	35.5714	51.7	GCA_000734575.1	-	-	-	JMQT01	7624	-	-	2014/07/28	2014/07/28	Contig	Seoul National University	SAMN02742164
Magnaporthe oryzae	318829	PRJNA245782	245782	Fungi	Ascomycetes	36.3842	51.5	GCA_000734595.1	-	-	-	JMQV01	7786	-	-	2014/07/28	2014/07/28	Contig	Seoul National University	SAMN02742166
Magnaporthe oryzae	318829	PRJNA245782	245782	Fungi	Ascomycetes	35.9671	51.2	GCA_000734605.1	-	-	-	JMQY01	8881	-	-	2014/07/28	2014/07/28	Contig	Seoul National University	SAMN02742169
Magnaporthe oryzae	318829	PRJNA245782	245782	Fungi	Ascomycetes	35.7743	51.2	GCA_000734635.1	-	-	-	JMRA01	9202	-	-	2014/07/28	2014/07/28	Contig	Seoul National University	SAMN02742171
Magnaporthe oryzae	318829	PRJNA245782	245782	Fungi	Ascomycetes	37.0979	51.1	GCA_000734655.1	-	-	-	JMRC01	8594	-	-	2014/07/28	2014/07/28	Contig	Seoul National University	SAMN02742173
Magnaporthe oryzae	318829	PRJNA245782	245782	Fungi	Ascomycetes	35.9461	51.4	GCA_000734675.1	-	-	-	JMRD01	8535	-	-	2014/07/28	2014/07/28	Contig	Seoul National University	SAMN02742174
Magnaporthe oryzae	318829	PRJNA245782	245782	Fungi	Ascomycetes	36.2555	51.3	GCA_000734685.1	-	-	-	JMRE01	8855	-	-	2014/07/28	2014/07/28	Contig	Seoul National University	SAMN02742175
Magnaporthe oryzae	318829	PRJNA245782	245782	Fungi	Ascomycetes	36.2356	51.2	GCA_000734705.1	-	-	-	JMRG01	9429	-	-	2014/07/28	2014/07/28	Contig	Seoul National University	SAMN02742257
Magnaporthe oryzae	318829	PRJNA245782	245782	Fungi	Ascomycetes	36.003	51.1	GCA_000734735.1	-	-	-	JMRH01	9152	-	-	2014/07/28	2014/07/28	Contig	Seoul National University	SAMN02742258
Magnaporthe oryzae	318829	PRJNA245782	245782	Fungi	Ascomycetes	36.0034	51.1	GCA_000734755.1	-	-	-	JMRB01	9277	-	-	2014/07/28	2014/07/28	Contig	Seoul National University	SAMN02742172
Magnaporthe oryzae	318829	PRJNA245782	245782	Fungi	Ascomycetes	35.8019	51.3	GCA_000734785.1	-	-	-	JMRF01	8427	-	-	2014/07/28	2014/07/28	Contig	Seoul National University	SAMN02742176
Notothenia coriiceps	8208	PRJNA66471	66471	Animals	Fishes	636.614	40.8002	GCA_000735185.1	-	1	-	AZAD01	38657	26863	32182	2014/07/28	2014/10/22	Scaffold	Antarctic Fish Genome Project	SAMN02206445
Manihot esculenta subsp. flabellifolia	478097	PRJNA236442	236442	Plants	Land Plants	390.836	34.4	GCA_000737105.1	-	-	-	JPQE01	54016	-	-	2014/07/31	2014/08/01	Scaffold	The Cassava Genome Consortium	SAMN02592733
Manihot esculenta	3983	PRJNA236442	236442	Plants	Land Plants	292.098	34.5	GCA_000737115.1	-	-	-	JPQF01	65771	-	-	2014/07/31	2014/08/01	Scaffold	The Cassava Genome Consortium	SAMN02592734
Stachybotrys chartarum IBT 40288	1283842	PRJNA170468	170468	Fungi	Ascomycetes	36.0127	53.4	GCA_000732765.1	-	-	-	AQPQ01	2351	11370	11368	-	-	Scaffold	UT Southwestern	SAMN01819007
Stachybotrys chlorohalonata IBT 40285	1283841	PRJNA185807	185807	Fungi	Ascomycetes	34.39	53.2	GCA_000732775.1	-	-	-	APWP01	2802	10706	10706	-	-	Scaffold	UT Southwestern	SAMN01819006
Auxenochlorella protothecoides	3075	PRJNA182710	182710	Plants	Green Algae	22.9246	62.8	GCA_000733215.1	-	-	-	APJO01	374	7016	7014	-	-	Scaffold	Beijing Genomics Institue, Shenzhen	SAMN02433493
Manacus vitellinus	328815	PRJNA212872	212872	Animals	Birds	1145.85	41.2	GCA_000692015.2	-	-	-	JMFM02	92755	14312	15666	-	-	Scaffold	BGI	SAMN02299332
Crotalus mitchellii pyrrhus	384069	PRJNA255393	255393	Animals	Reptiles	1126.79	38.6	GCA_000737285.1	-	-	-	JPMF01	473380	-	-	2014/08/01	2014/11/12	Scaffold	Reed College	SAMN02918464
Penstemon centranthifolius	69924	PRJNA242923	242923	Plants	Land Plants	4.47159	39.9	GCA_000737435.1	-	-	-	JPFH01	6761	-	-	2014/08/04	2014/08/04	Contig	Ohio State University	SAMN02711299
Penstemon grinnellii	388155	PRJNA242923	242923	Plants	Land Plants	3.66352	39.8	GCA_000737425.1	-	-	-	JPFI01	5523	-	-	2014/08/04	2014/08/04	Contig	Ohio State University	SAMN02711300
Haliaeetus leucocephalus	52644	PRJNA237821	237821	Animals	Birds	1178.41	41.8	GCA_000737465.1	-	-	-	JPRR01	1023	15817	25265	2014/08/04	2014/08/04	Scaffold	The Bald Eagle Consortium	SAMN02664716
Charadrius vociferus	50402	PRJNA212867	212867	Animals	Birds	1219.86	42	GCA_000708025.2	-	-	-	JMFX02	15167	14731	16428	-	-	Scaffold	BGI	SAMN02296710
Tinamus guttatus	94827	PRJNA212876	212876	Animals	Birds	1047.06	41.5	GCA_000705375.2	-	-	-	JMFW02	82514	16739	17873	-	-	Scaffold	BGI	SAMN02316659
Homo sapiens	9606	PRJNA193213	193213	Animals	Mammals	63.1241	39.0982	GCA_000442335.2	25	-	-	DAAF01	146	-	-	2013/08/05	2013/12/05	Chromosome	University of California, Santa Cruz	-
Rhizopus microsporus var rhizopodiformus B7455	1357688	PRJNA211913	211913	Fungi	Other Fungi	48.7298	37.2	GCA_000738565.1	-	-	-	JNER01	4658	-	-	2014/08/05	2014/08/05	Contig	IGS	SAMN02370961
Rhizopus delemar Type II NRRL 21477	1279481	PRJNA186019	186019	Fungi	Other Fungi	40.7763	35.1	GCA_000738585.1	-	-	-	JNEA01	1808	-	-	2014/08/05	2014/08/07	Scaffold	IGS	SAMN02352650
Rhizopus delemar Type II NRRL 21447	1279483	PRJNA186021	186021	Fungi	Other Fungi	38.6741	35.6	GCA_000738595.1	-	-	-	JNEC01	1177	-	-	2014/08/05	2014/08/07	Scaffold	IGS	SAMN02353302
Rhizopus delemar Type II NRRL 21446	1279484	PRJNA186022	186022	Fungi	Other Fungi	38.9413	35.8	GCA_000738605.1	-	-	-	JNED01	1156	-	-	2014/08/05	2014/08/07	Scaffold	IGS	SAMN02352652
Lichtheimia ramosa B5399	1274788	PRJNA184882	184882	Fungi	Other Fungi	45.567	41.2	GCA_000738555.1	-	-	-	JNDO01	3968	-	-	2014/08/05	2014/08/05	Contig	IGS	SAMN02351503
Venturia pyrina ICMP 11032	1437871	PRJNA232087	232087	Fungi	Ascomycetes	41.1779	47.6	GCA_000738655.1	-	-	-	JEMP01	1045	-	-	2014/08/07	2015/06/25	Scaffold	La Trobe University Department of Botany	SAMN02641049
Drosophila melanogaster	7227	PRJNA13669	13669	Animals	Insects	143.726	42.0803	GCA_000001215.4	7	1	-	-	1870	17651	30443	2002/04/30	2015/10/19	Chromosome	Department of Biochemistry, Michigan State University	SAMN02803731
Papiliotrema laurentii RY1	1354741	PRJNA210827	210827	Fungi	Basidiomycetes	19.1459	56.1	GCA_000738825.1	-	-	-	JDSR01	1152	-	-	2014/08/08	2014/08/08	Scaffold	Jadavpur University	SAMN02639477
Metarhizium anisopliae	5530	PRJNA245858	245858	Fungi	Ascomycetes	38.4771	50.5	GCA_000739145.1	-	-	-	JNNZ01	366	10958	10795	2014/08/12	2016/02/18	Contig	LNCC	SAMN02840975
Manis pentadactyla	143292	PRJNA20331	20331	Animals	Mammals	2204.73	41.6	GCA_000738955.1	-	-	-	JPTV01	92772	-	-	-	-	Scaffold	Washington University (WashU)	SAMN01943338
Arabis alpina	50452	PRJNA241291	241291	Plants	Land Plants	308.033	37.9325	GCA_000733195.1	8	-	-	JNGA01	27779	30216	23286	2014/07/21	2014/08/12	Chromosome	TRANSNET	SAMN02689159
Toxoplasma gondii RUB	935652	PRJNA61119	61119	Protists	Apicomplexans	64.9645	52.2	GCA_000224805.2	-	-	-	AFYV02	2431	10188	10027	2011/08/31	2014/08/13	Scaffold	J. Craig Venter Institute	SAMN02898938
Toxoplasma gondii p89	943119	PRJNA61547	61547	Protists	Apicomplexans	64.1641	52.2	GCA_000224885.2	-	-	-	AEYI02	2153	9855	9701	2011/04/11	2014/08/13	Scaffold	J. Craig Venter Institute	SAMN02953792
Toxoplasma gondii FOU	943167	PRJNA61561	61561	Protists	Apicomplexans	64.5312	52.2	GCA_000224905.2	-	-	-	AEYH02	2871	10276	10117	2011/04/11	2014/08/13	Scaffold	J. Craig Venter Institute	SAMN02953791
Toxoplasma gondii GAB2-2007-GAL-DOM2	1130820	PRJNA80767	80767	Protists	Apicomplexans	63.5521	52.3	GCA_000325525.2	-	-	-	AHZU02	2511	9285	9136	2012/08/08	2014/08/13	Scaffold	J. Craig Venter Institute	SAMN02953812
Corvus cornix cornix	932674	PRJNA192205	192205	Animals	Birds	1049.96	41.7	GCA_000738735.1	-	1	-	JPSR01	1299	15732	24325	2014/08/04	2014/08/12	Scaffold	Uppsala University	SAMN02143031
Penicillium rubens Wisconsin 54-1255	500485	PRJEA27927	27927	Fungi	Ascomycetes	32.2237	49	GCA_000226395.1	-	-	-	-	49	13908	12791	-	-	Scaffold	DSM Anti-Infectives, The Netherlands	SAMEA2272345
Toxoplasma gondii VAND	933077	PRJNA60839	60839	Protists	Apicomplexans	64.2726	52.2	GCA_000224845.2	-	-	-	AEYJ02	2141	9405	9255	2011/04/11	2015/08/06	Scaffold	http://www.jcvi.org	SAMN02898923
Toxoplasma gondii MAS	943118	PRJNA61545	61545	Protists	Apicomplexans	63.3205	52.2	GCA_000224865.2	-	-	-	AEXC02	2183	10163	10005	2011/04/11	2014/08/15	Scaffold	J. Craig Venter Institute	SAMN02953790
Mortierella verticillata NRRL 6337	1069443	PRJNA20603	20603	Fungi	Other Fungi	41.9129	48.8706	GCA_000739165.1	-	1	-	AEVJ01	56	12774	12595	2014/08/12	2014/08/15	Scaffold	Broad Institute	SAMN00699802
Theileria orientalis strain Shintoku	869250	PRJNA260532	260532	Protists	Apicomplexans	9.01036	41.5803	GCA_000740895.1	4	-	-	-	6	4058	4002	2012/09/06	2015/07/09	Complete Genome	NCBI	-
Larimichthys crocea	215358	PRJNA237858	237858	Animals	Fishes	648.407	41.4001	GCA_000742935.1	-	1	-	JPYK01	10266	23764	28245	2014/08/21	2014/08/22	Scaffold	Zhejiang Ocean University	SAMN02630636
Curvularia lunata CX-3	1263492	PRJNA182303	182303	Fungi	Ascomycetes	35.4974	50.1	GCA_000743335.1	-	-	-	JFHG01	340	-	-	-	-	Scaffold	Shanghai Jiao Tong University	SAMN02671749
Lignosus rhinocerotis TM02	1379160	PRJNA212725	212725	Fungi	Basidiomycetes	34.3129	53.6	GCA_000743315.1	-	-	-	AXZM01	1338	-	-	-	-	Scaffold	University of Malaya	SAMN03004335
Cathartes aura	43455	PRJNA212890	212890	Animals	Birds	1152.57	41.1	GCA_000699945.1	-	-	-	JMFT01	104141	11866	11361	2014/05/08	2014/09/05	Scaffold	BGI	SAMN02319050
Stegodyphus mimosarum	407821	PRJNA222714	222714	Animals	Other Animals	2738.7	33.8	GCA_000611955.2	-	-	-	AZAQ01	68653	27238	27135	2014/03/31	2014/09/04	Scaffold	BGI	SAMN02720821
Trichuris suis	68888	PRJNA208415	208415	Animals	Roundworms	74.2346	43.7	GCA_000701005.1	-	-	-	JMHY01	4292	14434	14434	2014/06/11	2014/07/31	Scaffold	The University of Melbourne	SAMN02423286
Trichuris suis	68888	PRJNA208416	208416	Animals	Roundworms	71.0564	43.6	GCA_000701025.1	-	-	-	JMHZ01	3284	14262	14262	2014/06/11	2014/07/31	Scaffold	The University of Melbourne	SAMN02423287
Shiraia sp. slf14	665115	PRJNA222884	222884	Fungi	Ascomycetes	32.0674	48	GCA_000498155.1	-	-	-	AXZN01	288	-	-	2013/11/21	2014/02/28	Contig	Jiangxi Normal University	SAMN02371273
Mycosphaerella sp. Ston1	333113	PRJNA212506	212506	Fungi	Ascomycetes	27.5099	51.2	GCA_000504405.1	-	-	-	AWYF01	1929	-	-	2013/12/03	2013/12/06	Scaffold	Tree Aggressors Identification using Genomic Approaches	SAMN02254960
Saccharomycetaceae sp. 'Ashbya aceri'	566037	PRJNA39551	39551	Fungi	Ascomycetes	8.89452	51.1789	GCA_000412225.2	7	1	-	-	8	4690	4487	2013/06/18	2014/10/01	Complete Genome	Duke University, Molecular Genetics and Microbiology	SAMN03081470
Epichloe sp. AL9924	1344566	PRJNA215230	215230	Fungi	Ascomycetes	36.1696	44	GCA_000729825.1	-	-	-	JFGW01	1068	-	-	-	-	Contig	University of Kentucky	SAMN02911893
Nematocida sp. 1 ERTm6	1138374	PRJNA82177	82177	Fungi	Other Fungi	4.27604	38.4	GCA_000738915.1	-	-	-	AKIJ01	24	2491	2433	-	-	Scaffold	Broad Institute	SAMN00779735
